date,state,cases,deaths
2020-01-21,WA,1,0
2020-01-22,WA,1,0
2020-01-23,WA,1,0
2020-01-24,IL,1,0
2020-01-24,WA,1,0
2020-01-25,CA,1,0
2020-01-25,IL,1,0
2020-01-25,WA,1,0
2020-01-26,AZ,1,0
2020-01-26,CA,2,0
2020-01-26,IL,1,0
2020-01-26,WA,1,0
2020-01-27,AZ,1,0
2020-01-27,CA,2,0
2020-01-27,IL,1,0
2020-01-27,WA,1,0
2020-01-28,AZ,1,0
2020-01-28,CA,2,0
2020-01-28,IL,1,0
2020-01-28,WA,1,0
2020-01-29,AZ,1,0
2020-01-29,CA,2,0
2020-01-29,IL,1,0
2020-01-29,WA,1,0
2020-01-30,AZ,1,0
2020-01-30,CA,2,0
2020-01-30,IL,2,0
2020-01-30,WA,1,0
2020-01-31,AZ,1,0
2020-01-31,CA,3,0
2020-01-31,IL,2,0
2020-01-31,WA,1,0
2020-02-01,AZ,1,0
2020-02-01,CA,3,0
2020-02-01,IL,2,0
2020-02-01,MA,1,0
2020-02-01,WA,1,0
2020-02-02,AZ,1,0
2020-02-02,CA,6,0
2020-02-02,IL,2,0
2020-02-02,MA,1,0
2020-02-02,WA,1,0
2020-02-03,AZ,1,0
2020-02-03,CA,6,0
2020-02-03,IL,2,0
2020-02-03,MA,1,0
2020-02-03,WA,1,0
2020-02-04,AZ,1,0
2020-02-04,CA,6,0
2020-02-04,IL,2,0
2020-02-04,MA,1,0
2020-02-04,WA,1,0
2020-02-05,AZ,1,0
2020-02-05,CA,6,0
2020-02-05,IL,2,0
2020-02-05,MA,1,0
2020-02-05,WA,1,0
2020-02-05,WI,1,0
2020-02-06,AZ,1,0
2020-02-06,CA,6,0
2020-02-06,IL,2,0
2020-02-06,MA,1,0
2020-02-06,WA,1,0
2020-02-06,WI,1,0
2020-02-07,AZ,1,0
2020-02-07,CA,6,0
2020-02-07,IL,2,0
2020-02-07,MA,1,0
2020-02-07,WA,1,0
2020-02-07,WI,1,0
2020-02-08,AZ,1,0
2020-02-08,CA,6,0
2020-02-08,IL,2,0
2020-02-08,MA,1,0
2020-02-08,WA,1,0
2020-02-08,WI,1,0
2020-02-09,AZ,1,0
2020-02-09,CA,6,0
2020-02-09,IL,2,0
2020-02-09,MA,1,0
2020-02-09,WA,1,0
2020-02-09,WI,1,0
2020-02-10,AZ,1,0
2020-02-10,CA,7,0
2020-02-10,IL,2,0
2020-02-10,MA,1,0
2020-02-10,WA,1,0
2020-02-10,WI,1,0
2020-02-11,AZ,1,0
2020-02-11,CA,7,0
2020-02-11,IL,2,0
2020-02-11,MA,1,0
2020-02-11,WA,1,0
2020-02-11,WI,1,0
2020-02-12,AZ,1,0
2020-02-12,CA,7,0
2020-02-12,IL,2,0
2020-02-12,MA,1,0
2020-02-12,TX,1,0
2020-02-12,WA,1,0
2020-02-12,WI,1,0
2020-02-13,AZ,1,0
2020-02-13,CA,7,0
2020-02-13,IL,2,0
2020-02-13,MA,1,0
2020-02-13,TX,2,0
2020-02-13,WA,1,0
2020-02-13,WI,1,0
2020-02-14,AZ,1,0
2020-02-14,CA,7,0
2020-02-14,IL,2,0
2020-02-14,MA,1,0
2020-02-14,TX,2,0
2020-02-14,WA,1,0
2020-02-14,WI,1,0
2020-02-15,AZ,1,0
2020-02-15,CA,7,0
2020-02-15,IL,2,0
2020-02-15,MA,1,0
2020-02-15,TX,2,0
2020-02-15,WA,1,0
2020-02-15,WI,1,0
2020-02-16,AZ,1,0
2020-02-16,CA,7,0
2020-02-16,IL,2,0
2020-02-16,MA,1,0
2020-02-16,TX,2,0
2020-02-16,WA,1,0
2020-02-16,WI,1,0
2020-02-17,AZ,1,0
2020-02-17,CA,7,0
2020-02-17,IL,2,0
2020-02-17,MA,1,0
2020-02-17,NE,10,0
2020-02-17,TX,2,0
2020-02-17,WA,1,0
2020-02-17,WI,1,0
2020-02-18,AZ,1,0
2020-02-18,CA,7,0
2020-02-18,IL,2,0
2020-02-18,MA,1,0
2020-02-18,NE,10,0
2020-02-18,TX,2,0
2020-02-18,WA,1,0
2020-02-18,WI,1,0
2020-02-19,AZ,1,0
2020-02-19,CA,7,0
2020-02-19,IL,2,0
2020-02-19,MA,1,0
2020-02-19,NE,10,0
2020-02-19,TX,2,0
2020-02-19,WA,1,0
2020-02-19,WI,1,0
2020-02-20,AZ,1,0
2020-02-20,CA,8,0
2020-02-20,IL,2,0
2020-02-20,MA,1,0
2020-02-20,NE,11,0
2020-02-20,TX,2,0
2020-02-20,WA,1,0
2020-02-20,WI,1,0
2020-02-21,AZ,1,0
2020-02-21,CA,9,0
2020-02-21,IL,2,0
2020-02-21,MA,1,0
2020-02-21,NE,11,0
2020-02-21,TX,4,0
2020-02-21,WA,1,0
2020-02-21,WI,1,0
2020-02-22,AZ,1,0
2020-02-22,CA,9,0
2020-02-22,IL,2,0
2020-02-22,MA,1,0
2020-02-22,NE,11,0
2020-02-22,TX,4,0
2020-02-22,WA,1,0
2020-02-22,WI,1,0
2020-02-23,AZ,1,0
2020-02-23,CA,9,0
2020-02-23,IL,2,0
2020-02-23,MA,1,0
2020-02-23,NE,11,0
2020-02-23,TX,4,0
2020-02-23,WA,1,0
2020-02-23,WI,1,0
2020-02-24,AZ,1,0
2020-02-24,CA,11,0
2020-02-24,IL,2,0
2020-02-24,MA,1,0
2020-02-24,NE,12,0
2020-02-24,TX,10,0
2020-02-24,WA,5,0
2020-02-24,WI,1,0
2020-02-25,AZ,1,0
2020-02-25,CA,11,0
2020-02-25,IL,2,0
2020-02-25,MA,1,0
2020-02-25,NE,13,0
2020-02-25,TX,10,0
2020-02-25,UT,1,0
2020-02-25,WA,5,0
2020-02-25,WI,1,0
2020-02-26,AZ,1,0
2020-02-26,CA,26,0
2020-02-26,IL,2,0
2020-02-26,MA,1,0
2020-02-26,NE,13,0
2020-02-26,TX,10,0
2020-02-26,UT,1,0
2020-02-26,WA,5,0
2020-02-26,WI,1,0
2020-02-27,AZ,1,0
2020-02-27,CA,26,0
2020-02-27,IL,2,0
2020-02-27,MA,1,0
2020-02-27,NE,13,0
2020-02-27,TX,10,0
2020-02-27,UT,1,0
2020-02-27,WA,5,0
2020-02-27,WI,1,0
2020-02-28,AZ,1,0
2020-02-28,CA,27,0
2020-02-28,IL,2,0
2020-02-28,MA,1,0
2020-02-28,NE,13,0
2020-02-28,OR,1,0
2020-02-28,TX,11,0
2020-02-28,UT,1,0
2020-02-28,WA,7,0
2020-02-28,WI,1,0
2020-02-29,AZ,1,0
2020-02-29,CA,28,0
2020-02-29,IL,3,0
2020-02-29,MA,1,0
2020-02-29,NE,13,0
2020-02-29,OR,1,0
2020-02-29,TX,11,0
2020-02-29,UT,1,0
2020-02-29,WA,10,1
2020-02-29,WI,1,0
2020-03-01,AZ,1,0
2020-03-01,CA,33,0
2020-03-01,FL,2,0
2020-03-01,IL,3,0
2020-03-01,MA,1,0
2020-03-01,NE,13,0
2020-03-01,NY,1,0
2020-03-01,OR,2,0
2020-03-01,RI,2,0
2020-03-01,TX,11,0
2020-03-01,UT,1,0
2020-03-01,WA,17,3
2020-03-01,WI,1,0
2020-03-02,AZ,1,0
2020-03-02,CA,38,0
2020-03-02,FL,2,0
2020-03-02,GA,2,0
2020-03-02,IL,4,0
2020-03-02,MA,2,0
2020-03-02,NE,13,0
2020-03-02,NH,1,0
2020-03-02,NY,1,0
2020-03-02,OR,2,0
2020-03-02,RI,2,0
2020-03-02,TX,11,0
2020-03-02,UT,1,0
2020-03-02,WA,23,6
2020-03-02,WI,1,0
2020-03-03,AZ,2,0
2020-03-03,CA,45,0
2020-03-03,FL,3,0
2020-03-03,GA,2,0
2020-03-03,IL,4,0
2020-03-03,MA,2,0
2020-03-03,NE,13,0
2020-03-03,NH,2,0
2020-03-03,NY,2,0
2020-03-03,NC,1,0
2020-03-03,OR,2,0
2020-03-03,RI,2,0
2020-03-03,TX,11,0
2020-03-03,UT,1,0
2020-03-03,WA,32,10
2020-03-03,WI,1,0
2020-03-04,AZ,2,0
